date,game,league,team_a,a_score,b_score,team_b,time,image
10-Oct,513,16B,Heideveld,75,56,MVBC,15:15 - 16:30,mvbc
10-Oct,514,16B,WCSS,70,57,Spartans,15:15 - 16:30,results
10-Oct,515,18B,Heideveld (1),20,0,Pinelands (4),16:30 - 17:45,results
10-Oct,516,18B,MVBC (2),68,42,WCSS (3),16:30 - 17:45,mvbc
11-Oct,517,L1,MVBC (1),71,21,Panthers (4),13:00 - 14:30,mvbc
11-Oct,518,L1,UCT (2),48,30,Heideveld (3),13:00 - 14:30,results
11-Oct,519,SL,CPUT Cats,62,55,UCT,14:30 - 16:00,results
11-Oct,520,SLL,CPUT Cats 2,39,48,MVBC,14:30 - 16:00,mvbc
11-Oct,521,SL,CPUT Alumni,57,70,MVBC,16:00 - 17:30,mvbc
11-Oct,522,SLL,Lethal Ladies,59,74,CPUT Cats 1,16:00 - 17:30,results
